书名,链接,国家,作者,翻译者,出版社,出版时间,价格,星级,评分,评价人数,简介
悉达多,https://book.douban.com/subject/26980487/,德,赫尔曼·黑塞, 姜乙 , 天津人民出版社 ,2017, 32.00,4.5,9.4,38871,无
江城,https://book.douban.com/subject/7060185/,美,彼得·海斯勒, 李雪顺 , 上海译文出版社 ,2012, 36.00,4.5,9.1,53571,外国人眼中的涪陵
我与地坛,https://book.douban.com/subject/1209899/,中,史铁生 , , 春风文艺出版社 ,2002, 25.00,4.5,9.2,87451,这是你的罪孽与福祉
万历十五年,https://book.douban.com/subject/1041482/,美,黄仁宇, 生活·读书·新知三联书店 , 生活·读书·新知三联书店 ,1997, 18.00,4.5,9,181625,见微知著，历史观的颠覆
城南旧事,https://book.douban.com/subject/1254588/,中,林海音 文 , , 中国青年出版社 ,2003, 16.00,4.5,9.1,137074,长亭外，古道边，芳草碧连天
彷徨,https://book.douban.com/subject/1449348/,中,鲁迅 , , 人民文学出版社 ,1973, 0.37,4.5,9.2,52863,路漫漫其修远兮，吾将上下而求索
艺术的故事,https://book.douban.com/subject/3162991/,英,贡布里希(SirE.H.Gombrich), 范景中 , 广西美术出版社 ,2008, 280.00,5,9.6,22473,从最早的洞窟绘画到当今的实验艺术
追风筝的人,https://book.douban.com/subject/1770782/,美,卡勒德·胡赛尼, 李继宏 , 上海人民出版社 ,2006, 29.00,4.5,8.9,749956,为你，千千万万遍
献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,美,丹尼尔·凯斯, 陈澄和 , 广西师范大学出版社 ,2015, 36.00,4.5,9.1,68290,当声称能改造智能的科学实验选中心智障碍主角
射雕英雄传,https://book.douban.com/subject/1044547/,中,金庸 , , 生活·读书·新知三联书店 ,1999, 47.00,4.5,9.1,77960,侠之大者，为国为民
罗杰疑案,https://book.douban.com/subject/21371175/,英,阿加莎·克里斯蒂, 常禾 , 新星出版社 ,2013, 28.00,4.5,9.2,50505,无
刀锋,https://book.douban.com/subject/2035162/,英,毛姆, 周煦良 , 上海译文出版社 ,2007, 18.00,4.5,9,78171,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
卡拉马佐夫兄弟,https://book.douban.com/subject/1856494/,俄,费奥多尔·陀思妥耶夫斯基, 荣如德 , 上海译文出版社 ,2006, 25.00,4.5,9.4,25106,错综复杂的社会、家庭矛盾和人性悲剧
寻路中国,https://book.douban.com/subject/5414391/,美,彼得·海斯勒, 李雪顺 , 上海译文出版社 ,2011, 33.00,4.5,9,51258,《纽约客》驻北京记者驾车漫游中国大陆的经历
